행정구역,2020년04월_총인구수,Column1
서울특별시 관악구 은천동(1162060500),34482,
서울특별시 관악구 중앙동(1162061500),15597,
서울특별시 관악구 인헌동(1162062500),26638,
서울특별시 관악구 남현동(1162063000),18707,
서울특별시 관악구 서원동(1162064500),23183,
서울특별시 관악구 신원동(1162065500),18501,
서울특별시 관악구 서림동(1162066500),23760,
서울특별시 관악구 신사동(1162068500),22939,
서울특별시 관악구 신림동(1162069500),21661,
서울특별시 관악구 난향동(1162071500),16060,
서울특별시 관악구 조원동(1162072500),17551,
서울특별시 관악구 대학동(1162073500),23623,
서울특별시 관악구 삼성동(1162074500),24805,
서울특별시 관악구 미성동(1162076500),31806,
서울특별시 관악구 난곡동(1162077500),28076,
서울특별시 서초구 (1165000000),429729,
서울특별시 서초구 서초1동(1165051000),21267,
서울특별시 서초구 서초2동(1165052000),18718,
서울특별시 서초구 서초3동(1165053000),30829,
서울특별시 서초구 서초4동(1165053100),31715,
서울특별시 서초구 잠원동(1165054000),34754,
서울특별시 서초구 반포본동(1165055000),12035,
서울특별시 서초구 반포1동(1165056000),32790,
서울특별시 서초구 반포2동(1165057000),16198,
서울특별시 서초구 반포3동(1165058000),20296,
서울특별시 서초구 반포4동(1165058100),19614,
서울특별시 서초구 방배본동(1165059000),21285,
서울특별시 서초구 방배1동(1165060000),17600,
서울특별시 서초구 방배2동(1165061000),20577,
서울특별시 서초구 방배3동(1165062000),21991,
서울특별시 서초구 방배4동(1165062100),23675,
서울특별시 서초구 양재1동(1165065100),45229,
서울특별시 서초구 양재2동(1165065200),22755,
서울특별시 서초구 내곡동(1165066000),18401,
서울특별시 강남구 (1168000000),543240,
서울특별시 강남구 신사동(1168051000),17143,
서울특별시 강남구 논현1동(1168052100),23224,
서울특별시 강남구 논현2동(1168053100),21598,
서울특별시 강남구 압구정동(1168054500),27605,
서울특별시 강남구 청담동(1168056500),28433,
서울특별시 강남구 삼성1동(1168058000),14667,
서울특별시 강남구 삼성2동(1168059000),30389,
서울특별시 강남구 대치1동(1168060000),25231,
서울특별시 강남구 대치2동(1168061000),38271,
서울특별시 강남구 대치4동(1168063000),20406,
서울특별시 강남구 역삼1동(1168064000),35946,
서울특별시 강남구 역삼2동(1168065000),37235,
서울특별시 강남구 도곡1동(1168065500),22481,
서울특별시 강남구 도곡2동(1168065600),34351,
서울특별시 강남구 개포1동(1168066000),6859,
서울특별시 강남구 개포2동(1168067000),22441,
서울특별시 강남구 개포4동(1168069000),18097,
서울특별시 강남구 세곡동(1168070000),44822,
서울특별시 강남구 일원본동(1168072000),24228,
서울특별시 강남구 일원1동(1168073000),16158,
서울특별시 강남구 일원2동(1168074000),17968,
서울특별시 강남구 수서동(1168075000),15687,
서울특별시 송파구 (1171000000),672862,
서울특별시 송파구 풍납1동(1171051000),14399,
서울특별시 송파구 풍납2동(1171052000),25688,
서울특별시 송파구 거여1동(1171053100),13049,
서울특별시 송파구 거여2동(1171053200),16730,
서울특별시 송파구 마천1동(1171054000),20305,
서울특별시 송파구 마천2동(1171055000),19860,
서울특별시 송파구 방이1동(1171056100),16346,
서울특별시 송파구 방이2동(1171056200),25914,
서울특별시 송파구 오륜동(1171056600),18819,
서울특별시 송파구 오금동(1171057000),40810,
서울특별시 송파구 송파1동(1171058000),25257,
서울특별시 송파구 송파2동(1171059000),20651,
서울특별시 송파구 석촌동(1171060000),33308,
서울특별시 송파구 삼전동(1171061000),31899,
서울특별시 송파구 가락본동(1171062000),27451,
서울특별시 송파구 가락1동(1171063100),27962,
서울특별시 송파구 가락2동(1171063200),33519,
서울특별시 송파구 문정1동(1171064100),21044,
서울특별시 송파구 문정2동(1171064200),29848,
서울특별시 송파구 장지동(1171064600),31180,
서울특별시 송파구 위례동(1171064700),28241,
서울특별시 송파구 잠실본동(1171065000),28884,
서울특별시 송파구 잠실2동(1171067000),36648,
서울특별시 송파구 잠실3동(1171068000),35661,
서울특별시 송파구 잠실4동(1171069000),22029,
서울특별시 송파구 잠실6동(1171071000),17261,
서울특별시 송파구 잠실7동(1171072000),10099,
서울특별시 강동구 (1174000000),455042,
서울특별시 강동구 강일동(1174051500),31797,
서울특별시 강동구 상일동(1174052000),30627,
서울특별시 강동구 명일제1동(1174053000),26404,
서울특별시 강동구 명일제2동(1174054000),17441,
서울특별시 강동구 고덕제1동(1174055000),26464,
서울특별시 강동구 고덕제2동(1174056000),21092,
서울특별시 강동구 암사제1동(1174057000),36067,
서울특별시 강동구 암사제2동(1174058000),15518,
서울특별시 강동구 암사제3동(1174059000),18460,
서울특별시 강동구 천호제1동(1174060000),27853,
서울특별시 강동구 천호제2동(1174061000),34848,
서울특별시 강동구 천호제3동(1174062000),26839,
서울특별시 강동구 성내제1동(1174064000),20291,
서울특별시 강동구 성내제2동(1174065000),24367,
서울특별시 강동구 성내제3동(1174066000),23495,
서울특별시 강동구 길동(1174068500),45896,
서울특별시 강동구 둔촌제1동(1174069000),263,
서울특별시 강동구 둔촌제2동(1174070000),27320,
부산광역시  (2600000000),3408347,
부산광역시 중구 (2611000000),41714,
부산광역시 중구 중앙동(2611051000),2200,
부산광역시 중구 동광동(2611052000),2964,
부산광역시 중구 대청동(2611053000),6601,
부산광역시 중구 보수동(2611054500),10740,
부산광역시 중구 부평동(2611056000),4708,
부산광역시 중구 광복동(2611057000),1086,
부산광역시 중구 남포동(2611058000),1049,
부산광역시 중구 영주제1동(2611059000),4858,
부산광역시 중구 영주제2동(2611060000),7508,
부산광역시 서구 (2614000000),107722,
부산광역시 서구 동대신제1동(2614051000),4653,
부산광역시 서구 동대신제2동(2614052000),7803,
부산광역시 서구 동대신제3동(2614053000),7026,
